time_id,full_date,year,month,day,quarter,weekday
T001,2023-10-05,2023,10,5,Q4,Thursday
T002,2023-02-24,2023,2,24,Q1,Friday
T003,2023-02-03,2023,2,3,Q1,Friday
T004,2023-04-19,2023,4,19,Q2,Wednesday
T005,2023-11-02,2023,11,2,Q4,Thursday
T006,2023-01-06,2023,1,6,Q1,Friday
T007,2023-06-08,2023,6,8,Q2,Thursday
T008,2023-04-07,2023,4,7,Q2,Friday
T009,2023-10-10,2023,10,10,Q4,Tuesday
T010,2023-04-14,2023,4,14,Q2,Friday
T011,2023-11-23,2023,11,23,Q4,Thursday
T012,2023-01-17,2023,1,17,Q1,Tuesday
T013,2023-05-04,2023,5,4,Q2,Thursday
T014,2023-05-18,2023,5,18,Q2,Thursday
T015,2023-02-13,2023,2,13,Q1,Monday
T016,2023-10-19,2023,10,19,Q4,Thursday
T017,2023-10-17,2023,10,17,Q4,Tuesday
T018,2023-01-23,2023,1,23,Q1,Monday
T019,2023-10-16,2023,10,16,Q4,Monday
T020,2023-09-05,2023,9,5,Q3,Tuesday
T021,2023-01-24,2023,1,24,Q1,Tuesday
T022,2023-01-25,2023,1,25,Q1,Wednesday
T023,2023-06-11,2023,6,11,Q2,Sunday
T024,2023-02-17,2023,2,17,Q1,Friday
T025,2023-06-08,2023,6,8,Q2,Thursday
T026,2023-01-05,2023,1,5,Q1,Thursday
T027,2023-07-02,2023,7,2,Q3,Sunday
T028,2023-05-25,2023,5,25,Q2,Thursday
T029,2023-07-23,2023,7,23,Q3,Sunday
T030,2023-09-14,2023,9,14,Q3,Thursday
T031,2023-04-10,2023,4,10,Q2,Monday
T032,2023-06-11,2023,6,11,Q2,Sunday
T033,2023-07-20,2023,7,20,Q3,Thursday
T034,2023-07-02,2023,7,2,Q3,Sunday
T035,2023-03-08,2023,3,8,Q1,Wednesday
T036,2023-12-26,2023,12,26,Q4,Tuesday
T037,2023-12-12,2023,12,12,Q4,Tuesday
T038,2023-02-19,2023,2,19,Q1,Sunday
T039,2023-06-19,2023,6,19,Q2,Monday
T040,2023-07-28,2023,7,28,Q3,Friday
T041,2023-09-15,2023,9,15,Q3,Friday
T042,2023-02-21,2023,2,21,Q1,Tuesday
T043,2023-09-15,2023,9,15,Q3,Friday
T044,2023-03-18,2023,3,18,Q1,Saturday
T045,2023-01-13,2023,1,13,Q1,Friday
T046,2023-10-28,2023,10,28,Q4,Saturday
T047,2023-07-15,2023,7,15,Q3,Saturday
T048,2023-09-02,2023,9,2,Q3,Saturday
T049,2023-10-28,2023,10,28,Q4,Saturday
T050,2023-01-20,2023,1,20,Q1,Friday
T051,2023-05-29,2023,5,29,Q2,Monday
T052,2023-03-24,2023,3,24,Q1,Friday
T053,2023-03-19,2023,3,19,Q1,Sunday
T054,2023-12-16,2023,12,16,Q4,Saturday
T055,2023-08-26,2023,8,26,Q3,Saturday
T056,2023-02-10,2023,2,10,Q1,Friday
T057,2023-11-17,2023,11,17,Q4,Friday
T058,2023-02-17,2023,2,17,Q1,Friday
T059,2023-04-29,2023,4,29,Q2,Saturday
T060,2023-04-21,2023,4,21,Q2,Friday
T061,2023-12-15,2023,12,15,Q4,Friday
T062,2023-12-01,2023,12,1,Q4,Friday
T063,2023-03-14,2023,3,14,Q1,Tuesday
T064,2023-03-24,2023,3,24,Q1,Friday
T065,2023-09-14,2023,9,14,Q3,Thursday
T066,2023-09-22,2023,9,22,Q3,Friday
T067,2023-11-08,2023,11,8,Q4,Wednesday
T068,2023-11-30,2023,11,30,Q4,Thursday
T069,2023-09-25,2023,9,25,Q3,Monday
T070,2023-06-24,2023,6,24,Q2,Saturday
T071,2023-08-18,2023,8,18,Q3,Friday
T072,2023-03-09,2023,3,9,Q1,Thursday
T073,2023-06-23,2023,6,23,Q2,Friday
T074,2023-05-29,2023,5,29,Q2,Monday
T075,2023-07-04,2023,7,4,Q3,Tuesday
T076,2023-11-16,2023,11,16,Q4,Thursday
